2023-02-09 17:29:51+00:00, province: İstanbul, district: None, country: TR
2023-02-09 14:42:51+00:00, province: Bretagne, district: Côtes-d'Armor, country: FR
2023-02-09 14:42:01+00:00, province: Hatay, district: None, country: TR
2023-02-09 14:37:24+00:00, province: Muğla, district: None, country: TR
2023-02-09 14:32:16+00:00, province: Bursa, district: None, country: TR
2023-02-09 14:31:13+00:00, province: Ankara, district: None, country: TR
2023-02-09 14:27:53+00:00, province: Hatay, district: None, country: TR
2023-02-09 13:58:28+00:00, province: Adana, district: None, country: TR
2023-02-09 12:48:21+00:00, province: Bursa, district: None, country: TR
2023-02-09 12:34:25+00:00, province: Adana, district: None, country: TR
2023-02-09 12:09:17+00:00, province: Ankara, district: Ankara, country: TR
2023-02-09 11:27:17+00:00, province: Gaziantep, district: None, country: TR
2023-02-09 11:09:44+00:00, province: Düzce, district: Düzce Merkez, country: TR
2023-02-09 11:08:48+00:00, province: Ankara, district: None, country: TR
2023-02-09 11:06:23+00:00, province: Diyarbakır, district: None, country: TR
2023-02-09 10:30:32+00:00, province: Mersin, district: None, country: TR
2023-02-09 10:26:00+00:00, province: Adana, district: None, country: TR
2023-02-09 10:19:20+00:00, province: Adıyaman, district: Adıyaman Merkez, country: TR
2023-02-09 09:58:32+00:00, province: İstanbul, district: None, country: TR
2023-02-09 09:38:51+00:00, province: Pwani bölgesi, district: Mkuranga, country: TZ
2023-02-09 09:34:39+00:00, province: Ankara, district: None, country: TR
2023-02-09 09:34:15+00:00, province: Şanlıurfa, district: None, country: TR
2023-02-09 09:20:11+00:00, province: İzmir, district: None, country: TR
2023-02-09 09:13:15+00:00, province: İstanbul, district: None, country: TR
2023-02-09 09:11:54+00:00, province: İzmir, district: None, country: TR
2023-02-09 09:11:36+00:00, province: Antalya, district: None, country: TR
2023-02-09 09:08:23+00:00, province: Bretagne, district: Côtes-d'Armor, country: FR
2023-02-09 08:46:50+00:00, province: Konya, district: None, country: TR
2023-02-09 07:59:26+00:00, province: Hatay, district: None, country: TR
